Fail#,Scheme,Proc,Cores 
1,rr4,proc2,1
2,fcfs,proc3,2
3,rr4,proc2,4
4,rr4,proc3,4
5,rr2,proc3,1
6,fcfs,proc1,2
7,fcfs,proc2,4
8,rr1,proc1,2
9,fcfs,proc3,4
10,pri,proc3,2
11,psjf,proc2,4
12,ppri,proc2,2
13,sjf,proc2,2
14,ppri,proc1,4
15,sjf,proc3,1
16,rr4,proc2,2
17,rr1,proc3,4
18,rr2,proc1,2
19,rr2,proc3,4
20,rr1,proc2,4
21,rr4,proc3,1
22,psjf,proc2,1
23,ppri,proc3,4
24,psjf,proc3,2
25,rr4,proc1,1
26,rr1,proc1,4
27,psjf,proc3,1
28,psjf,proc1,1
29,rr1,proc2,2
30,psjf,proc1,4
31,sjf,proc1,1
32,sjf,proc3,4
33,rr2,proc3,2
34,ppri,proc3,1
35,fcfs,proc3,1
36,rr1,proc3,1
37,rr1,proc3,2
38,pri,proc1,1
39,ppri,proc1,1
40,rr2,proc2,2
41,fcfs,proc1,1
42,rr4,proc3,2
43,sjf,proc3,2
44,pri,proc3,1
45,rr2,proc2,1
46,pri,proc2,4
47,ppri,proc1,2
48,rr2,proc1,1
49,psjf,proc3,4
50,sjf,proc1,2
51,rr4,proc1,2
52,pri,proc3,4
53,psjf,proc1,2
54,sjf,proc2,4
55,pri,proc2,1
56,rr1,proc2,1
57,ppri,proc2,1
58,fcfs,proc2,1
59,psjf,proc2,2
60,pri,proc1,4
61,rr2,proc2,4
62,pri,proc2,2
63,sjf,proc2,1
64,ppri,proc2,4
65,rr2,proc1,4
66,pri,proc1,2
67,ppri,proc3,2
68,rr4,proc1,4
69,rr1,proc1,1
70,fcfs,proc1,4
71,fcfs,proc2,2
72,sjf,proc1,4
